"12ak -- Deaths by age (5-year), sex and area, 1990-2021"

"Year","Area","Females Total Deaths","Females 0 Deaths","Females 1 - 4 Deaths","Females 5 - 9 Deaths","Females 10 - 14 Deaths","Females 15 - 19 Deaths","Females 20 - 24 Deaths","Females 25 - 29 Deaths","Females 30 - 34 Deaths","Females 35 - 39 Deaths","Females 40 - 44 Deaths","Females 45 - 49 Deaths","Females 50 - 54 Deaths","Females 55 - 59 Deaths","Females 60 - 64 Deaths","Females 65 - 69 Deaths","Females 70 - 74 Deaths","Females 75 - 79 Deaths","Females 80 - 84 Deaths","Females 85 - 89 Deaths","Females 90 - 94 Deaths","Females 95 - Deaths"
"1990","Kuhmo",67,1,0,0,0,0,0,0,0,0,2,2,0,5,3,6,7,16,10,11,2,2
"1990","Kuhmoinen",25,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,1,3,6,1,3,1
"1990","Kumlinge",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"1990","Kuopio",538,1,0,0,0,1,2,2,3,4,5,6,11,15,26,47,70,93,110,86,43,13
"1990","Kuortane",14,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,1,0,0
"1990","Kurikka",153,1,0,0,0,0,0,0,0,0,2,2,1,1,8,10,23,25,31,31,14,4
"1990","Kustavi",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,2,0
"1990","Kuusamo",69,0,1,1,0,1,1,0,2,0,0,4,2,3,3,6,9,11,10,7,8,0
"1990","Kyyjärvi",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,5,0,1,0
"1990","Kärkölä",33,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,8,13,3,0,2
"1990","Kärsämäki",13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,3,2,2,0
"1990","Kökar",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"1990","Lahti",591,2,1,1,0,0,2,1,3,6,10,12,12,11,25,50,80,108,128,75,55,9
"1990","Laihia",35,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,9,9,6,5,1,0
"1990","Laitila",53,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,8,12,6,13,4,0
"1990","Lapinjärvi",36,1,0,0,0,0,1,0,0,1,0,0,0,2,2,2,3,6,7,9,1,1
"1990","Lapinlahti",55,0,0,0,0,0,0,1,1,0,0,2,0,0,0,6,10,6,15,8,6,0
"1990","Lappajärvi",25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,7,4,4,1
"1990","Lappeenranta",334,5,0,0,0,2,1,0,1,3,8,4,13,7,18,21,44,63,63,50,26,5
"1990","Lapua",66,0,0,0,0,0,0,0,0,0,0,1,1,0,4,6,6,14,18,10,3,3
"1990","Laukaa",79,1,0,0,0,0,0,0,1,0,1,1,1,1,3,4,9,15,22,13,5,2
"1990","Lemi",13,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,3,3,1,1
"1990","Lemland",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"1990","Lempäälä",55,0,0,0,1,0,0,0,0,0,1,1,2,0,3,10,6,7,10,7,6,1
"1990","Leppävirta",64,0,0,0,0,0,0,0,0,0,2,0,2,2,3,5,7,11,21,4,6,1
"1990","Lestijärvi",4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
"1990","Lieksa",114,0,0,0,0,0,0,1,0,0,1,0,2,2,4,9,15,25,29,22,4,0
"1990","Lieto",49,1,0,0,0,0,0,1,0,0,1,0,1,0,1,3,4,11,13,7,5,1
"1990","Liminka",16,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,3,2,3,1,1
